"filename", "language", "CMake", "C++", "Markdown", "JavaScript", "JSON", "Ini", "Batch", "comment", "blank", "total"
"e:\qt_project\SyncCanvas\GateServer\include\GateServer\HttpConnection.h", "C++", 0, 37, 0, 0, 0, 0, 0, 1, 6, 44
"e:\qt_project\SyncCanvas\GateServer\include\GateServer\LogicGrpcClient.h", "C++", 0, 30, 0, 0, 0, 0, 0, 1, 6, 37
"e:\qt_project\SyncCanvas\GateServer\include\GateServer\LogicSystem.h", "C++", 0, 31, 0, 0, 0, 0, 0, 0, 7, 38
"e:\qt_project\SyncCanvas\GateServer\include\GateServer\RedisMgr.h", "C++", 0, 26, 0, 0, 0, 0, 0, 3, 9, 38
"e:\qt_project\SyncCanvas\GateServer\include\GateServer\Singleton.h", "C++", 0, 29, 0, 0, 0, 0, 0, 9, 5, 43
"e:\qt_project\SyncCanvas\GateServer\include\GateServer\VerifyGrpcClient.h", "C++", 0, 59, 0, 0, 0, 0, 0, 0, 16, 75
"e:\qt_project\SyncCanvas\GateServer\include\GateServer\const.h", "C++", 0, 29, 0, 0, 0, 0, 0, 17, 7, 53
"e:\qt_project\SyncCanvas\GateServer\include\GateServer\message.grpc.pb.h", "C++", 0, 870, 0, 0, 0, 0, 0, 52, 13, 935
"e:\qt_project\SyncCanvas\GateServer\include\GateServer\message.pb.h", "C++", 0, 3105, 0, 0, 0, 0, 0, 258, 296, 3659
"e:\qt_project\SyncCanvas\GateServer\src\AsioIOServicePool.cpp", "C++", 0, 42, 0, 0, 0, 0, 0, 8, 7, 57
"e:\qt_project\SyncCanvas\GateServer\src\CServer.cpp", "C++", 0, 31, 0, 0, 0, 0, 0, 6, 7, 44
"e:\qt_project\SyncCanvas\GateServer\src\ConfigMgr.cpp", "C++", 0, 40, 0, 0, 0, 0, 0, 3, 4, 47
"e:\qt_project\SyncCanvas\GateServer\src\GateServer.cpp", "C++", 0, 40, 0, 0, 0, 0, 0, 8, 4, 52
"e:\qt_project\SyncCanvas\GateServer\src\HttpConnection.cpp", "C++", 0, 201, 0, 0, 0, 0, 0, 18, 13, 232
"e:\qt_project\SyncCanvas\GateServer\src\LogicGrpcClient.cpp", "C++", 0, 61, 0, 0, 0, 0, 0, 15, 10, 86
"e:\qt_project\SyncCanvas\GateServer\src\LogicSystem.cpp", "C++", 0, 255, 0, 0, 0, 0, 0, 15, 29, 299
"e:\qt_project\SyncCanvas\GateServer\src\RedisMgr.cpp", "C++", 0, 163, 0, 0, 0, 0, 0, 17, 15, 195
"e:\qt_project\SyncCanvas\GateServer\src\VerifyGrpcClient.cpp", "C++", 0, 63, 0, 0, 0, 0, 0, 0, 8, 71
"e:\qt_project\SyncCanvas\GateServer\src\message.grpc.pb.cc", "C++", 0, 224, 0, 0, 0, 0, 0, 3, 47, 274
"e:\qt_project\SyncCanvas\GateServer\src\message.pb.cc", "C++", 0, 2862, 0, 0, 0, 0, 0, 251, 248, 3361
"e:\qt_project\SyncCanvas\LogicServer\CMakeLists.txt", "CMake", 113, 0, 0, 0, 0, 0, 0, 0, 23, 136
"e:\qt_project\SyncCanvas\LogicServer\CMakePresets.json", "JSON", 0, 0, 0, 0, 103, 0, 0, 0, 1, 104
"e:\qt_project\SyncCanvas\LogicServer\config.ini", "Ini", 0, 0, 0, 0, 0, 30, 0, 0, 0, 30
"e:\qt_project\SyncCanvas\LogicServer\include\LogicServer\ConfigMgr.h", "C++", 0, 66, 0, 0, 0, 0, 0, 0, 10, 76
"e:\qt_project\SyncCanvas\LogicServer\include\LogicServer\LogicServer.h", "C++", 0, 2, 0, 0, 0, 0, 0, 3, 4, 9
"e:\qt_project\SyncCanvas\LogicServer\include\LogicServer\LogicServiceImpl.h", "C++", 0, 24, 0, 0, 0, 0, 0, 4, 7, 35
"e:\qt_project\SyncCanvas\LogicServer\include\LogicServer\MysqlDao.h", "C++", 0, 15, 0, 0, 0, 0, 0, 3, 7, 25
"e:\qt_project\SyncCanvas\LogicServer\include\LogicServer\MysqlMgr.h", "C++", 0, 16, 0, 0, 0, 0, 0, 3, 2, 21
